no,id,sex,age,lact,preg,repstat,KFI,fetsex,fetwt,fetleng,lengwt,ID,Male_tel,Male_marsh,Female_tel,Female_marsh,llarvae,mlarvae,aboscore,aboclass,Eimeria,Tstrong,Nemato,Marsh,Moniez
123,311,m,2,,,,0.77577759,,,,,311,710,60,1800,20,7400,9600,,,375,0,10,0,0
143,562,m,2,,,,0.90861497,,,,,562,10,0,160,10,18800,18900,moderate,3,46.25,0,3.75,0.75,0
73,214,m,3,,,,1.182889734,,,,,214,100,130,870,110,19300,1400,light,2,246.75,0.5,7.25,3.25,0
78,223,m,3,,,,1.355058203,,,,,223,20,0,30,20,17200,15100,light,2,9.5,0,0,0,0
88,245,m,3,,,,0.801294947,,,,,245,50,140,30,60,24200,6400,none,1,196.25,0.75,2,2.5,0
99,271,m,3,,,,0.837516443,,,,,271,0,10,0,0,0,11700,light,2,312.5,0,0.25,0.5,0
100,272,m,3,,,,0.865460192,,,,,272,10,40,90,30,28500,18700,moderate,3,0,0,0,0,0
109,287,m,3,,,,1.121339215,,,,,287,280,200,1490,240,14700,17400,severe,5,65,0,0,0.75,0
110,288,m,3,,,,1.079041614,,,,,288,NA,NA,NA,NA,12900,3100,light,2,24,0.25,0.25,0.25,0
124,327,m,3,,,,1.713732394,,,,,327,190,170,870,130,35300,16900,light,2,50,0.25,1.25,0.75,0
125,329,m,3,,,,1.04971729,,,,,329,60,130,560,110,25800,4800,light,2,148.75,0,0.5,0.5,0
126,332,m,3,,,,1.173392388,,,,,332,80,110,490,20,23000,12500,moderate,3,53,0,3,2.5,0
3,64,m,4,,,,1.140860344,,,,,64,0,0,0,0,17900,10000,moderate,3,68.75,0,11.5,3.25,0
42,146,m,4,,,,0.478794688,,,,,146,10,70,20,0,28300,3600,,,218.75,0,0,0,0
89,246,m,4,,,,0.772078811,,,,,246,,,,,32900,1900,none,1,165,3,1.25,0.75,0
108,286,m,4,,,,1.185389567,,,,,286,10,0,10,10,20900,4400,,,36.25,0,0.25,0.5,0
121,302,m,4,,,,1.168938253,,,,,302,0,0,30,0,10800,4700,light,2,312.5,0,0,0,0
128,344,m,4,,,,1.056915196,,,,,344,180,100,830,90,14600,6400,moderate,3,37.5,0,1.25,0,0
137,391,m,4,,,,1.253200348,,,,,391,20,0,0,0,16200,15900,light,2,85,0,0,0,0
138,421,m,4,,,,0.680100101,,,,,421,0,0,0,0,6500,5500,moderate,3,107.5,0,0,0,0
139,458,m,4,,,,1.170451212,,,,,458,20,20,60,10,4300,12100,,,70,0.25,4.5,0,0
140,459,m,4,,,,0.770144958,,,,,459,20,70,30,60,7100,27800,,,23.75,0,0.25,0,0
